Kecamatan,BP,Periode,Periode_Idx,PD_Total,Tanggal
Sail,SLB,2025-2026 Ganjil,12,98,2025-07-01
Sail,SLB,2025-2026 Genap,13,102,2026-01-01
Sukajadi,SLB,2019-2020 Ganjil,0,42,2019-07-01
Sukajadi,SLB,2019-2020 Genap,1,41,2020-01-01
Sukajadi,SLB,2020-2021 Ganjil,2,41,2020-07-01
Sukajadi,SLB,2020-2021 Genap,3,38,2021-01-01
Sukajadi,SLB,2021-2022 Ganjil,4,37,2021-07-01
Sukajadi,SLB,2021-2022 Genap,5,37,2022-01-01
Sukajadi,SLB,2022-2023 Ganjil,6,34,2022-07-01
Sukajadi,SLB,2022-2023 Genap,7,33,2023-01-01
Sukajadi,SLB,2023-2024 Ganjil,8,31,2023-07-01
Sukajadi,SLB,2023-2024 Genap,9,31,2024-01-01
Sukajadi,SLB,2024-2025 Ganjil,10,30,2024-07-01
Sukajadi,SLB,2024-2025 Genap,11,30,2025-01-01
Sukajadi,SLB,2025-2026 Ganjil,12,32,2025-07-01
Sukajadi,SLB,2025-2026 Genap,13,31,2026-01-01
Tenayan Raya,SLB,2019-2020 Ganjil,0,393,2019-07-01
Tenayan Raya,SLB,2019-2020 Genap,1,399,2020-01-01
Tenayan Raya,SLB,2020-2021 Ganjil,2,367,2020-07-01
Tenayan Raya,SLB,2020-2021 Genap,3,336,2021-01-01
Tenayan Raya,SLB,2021-2022 Ganjil,4,308,2021-07-01
Tenayan Raya,SLB,2021-2022 Genap,5,311,2022-01-01
Tenayan Raya,SLB,2022-2023 Ganjil,6,344,2022-07-01
Tenayan Raya,SLB,2022-2023 Genap,7,345,2023-01-01
Tenayan Raya,SLB,2023-2024 Ganjil,8,375,2023-07-01
Tenayan Raya,SLB,2023-2024 Genap,9,349,2024-01-01
Tenayan Raya,SLB,2024-2025 Ganjil,10,343,2024-07-01
Tenayan Raya,SLB,2024-2025 Genap,11,342,2025-01-01
Tenayan Raya,SLB,2025-2026 Ganjil,12,335,2025-07-01
Tenayan Raya,SLB,2025-2026 Genap,13,336,2026-01-01
Tuahmadani,SLB,2019-2020 Ganjil,0,78,2019-07-01
Tuahmadani,SLB,2019-2020 Genap,1,79,2020-01-01
Tuahmadani,SLB,2020-2021 Ganjil,2,75,2020-07-01
Tuahmadani,SLB,2020-2021 Genap,3,70,2021-01-01
Tuahmadani,SLB,2021-2022 Ganjil,4,81,2021-07-01
Tuahmadani,SLB,2021-2022 Genap,5,85,2022-01-01
Tuahmadani,SLB,2023-2024 Genap,9,98,2024-01-01
Tuahmadani,SLB,2024-2025 Ganjil,10,112,2024-07-01
Tuahmadani,SLB,2024-2025 Genap,11,107,2025-01-01
Tuahmadani,SLB,2025-2026 Ganjil,12,114,2025-07-01
Tuahmadani,SLB,2025-2026 Genap,13,114,2026-01-01
