Kecamatan,Periode_Idx,Step,Tanggal,PD_Prediksi,Total_Gizi_Kkal,Target_Beras,Target_Daging,Target_Telur,Target_Susu,Target_Sayur,Target_Minyak,Target_Ikan,Target_Buah,Biaya_Harian_IDR,Biaya_Semester_IDR,Jenjang
Senapelan,18,5,2029-07-01,1591,1026195.0,315.7523,49.2574,52.9649,84.1143,205.239,11.6085,102.6195,164.1912,24796476.2,2975577144.0,SMP
Senapelan,19,6,2029-01-01,1561,1006845.0,309.7985,48.3286,51.9662,82.5283,201.369,11.3896,100.6845,161.0952,24328914.4,2919469728.0,SMP
Sukajadi,14,1,2027-07-01,2905,1873725.0,576.5308,89.9388,96.7084,153.584,374.745,21.196,187.3725,299.796,45275773.7,5433092844.0,SMP
Sukajadi,15,2,2027-01-01,2939,1895655.0,583.2785,90.9914,97.8403,155.3816,379.131,21.4441,189.5655,303.3048,45805677.199999996,5496681263.999999,SMP
Sukajadi,16,3,2028-07-01,2997,1933065.0,594.7892,92.7871,99.7711,158.448,386.613,21.8673,193.3065,309.2904,46709634.7,5605156164.0,SMP
Sukajadi,17,4,2028-01-01,3049,1966605.0,605.1092,94.397,101.5022,161.1971,393.321,22.2467,196.6605,314.6568,47520074.7,5702408964.0,SMP
Sukajadi,18,5,2029-07-01,3107,2004015.0,616.62,96.1927,103.433,164.2635,400.803,22.6699,200.4015,320.6424,48424033.7,5810884044.0,SMP
Sukajadi,19,6,2029-01-01,3155,2034975.0,626.1462,97.6788,105.031,166.8012,406.995,23.0201,203.4975,325.596,49172140.3,5900656836.0,SMP
Tenayan Raya,14,1,2027-07-01,3908,2520660.0,775.5877,120.9917,130.0986,206.6115,504.132,28.5143,252.066,403.3056,60907997.699999996,7308959723.999999,SMP
Tenayan Raya,15,2,2027-01-01,3988,2572260.0,791.4646,123.4685,132.7618,210.841,514.452,29.098,257.226,411.5616,62154833.4,7458580008.0,SMP
Tenayan Raya,16,3,2028-07-01,4079,2630955.0,809.5246,126.2858,135.7912,215.652,526.191,29.7619,263.0955,420.9528,63573100.300000004,7628772036.000001,SMP
Tenayan Raya,17,4,2028-01-01,4119,2656755.0,817.4631,127.5242,137.1228,217.7668,531.351,30.0538,265.6755,425.0808,64196520.8,7703582496.0,SMP
Tenayan Raya,18,5,2029-07-01,4148,2675460.0,823.2185,128.4221,138.0883,219.3,535.092,30.2654,267.546,428.0736,64648509.1,7757821092.0,SMP
Tenayan Raya,19,6,2029-01-01,4165,2686425.0,826.5923,128.9484,138.6542,220.1988,537.285,30.3894,268.6425,429.828,64913457.800000004,7789614936.000001,SMP
Tuahmadani,14,1,2027-07-01,4546,2932170.0,902.2062,140.7442,151.3378,240.3418,586.434,33.1693,293.217,469.1472,70851523.8,8502182856.0,SMP
Tuahmadani,15,2,2027-01-01,4456,2874120.0,884.3446,137.9578,148.3417,235.5836,574.824,32.5127,287.412,459.8592,69448833.2,8333859984.0,SMP
Tuahmadani,16,3,2028-07-01,4387,2829615.0,870.6508,135.8215,146.0446,231.9357,565.923,32.0092,282.9615,452.7384,68373427.9,8204811348.000001,SMP
Tuahmadani,17,4,2028-01-01,4346,2803170.0,862.5138,134.5522,144.6797,229.768,560.634,31.7101,280.317,448.5072,67734429.4,8128131528.000001,SMP
Tuahmadani,18,5,2029-07-01,4317,2784465.0,856.7585,133.6543,143.7143,228.2348,556.893,31.4985,278.4465,445.5144,67282445.4,8073893448.000001,SMP
Tuahmadani,19,6,2029-01-01,4297,2771565.0,852.7892,133.0351,143.0485,227.1775,554.313,31.3525,277.1565,443.4504,66970735.5,8036488260.0,SMP
Binawidya,14,1,2027-07-01,1107,788737.5,242.6885,37.8594,40.709,64.6506,157.7475,8.9224,78.8738,126.198,19058668.2,2287040184.0,SMA
Binawidya,15,2,2027-01-01,1113,793012.5,244.0038,38.0646,40.9297,65.001,158.6025,8.9707,79.3012,126.882,19161962.7,2299435524.0,SMA
Binawidya,16,3,2028-07-01,1120,798000.0,245.5385,38.304,41.1871,65.4098,159.6,9.0271,79.8,127.68,19282480.1,2313897612.0,SMA
Binawidya,17,4,2028-01-01,1124,800850.0,246.4154,38.4408,41.3342,65.6434,160.17,9.0594,80.085,128.136,19351346.799999997,2322161615.9999995,SMA
Binawidya,18,5,2029-07-01,1127,802987.5,247.0731,38.5434,41.4445,65.8186,160.5975,9.0836,80.2988,128.478,19402997.8,2328359736.0,SMA
Binawidya,19,6,2029-01-01,1129,804412.5,247.5115,38.6118,41.5181,65.9355,160.8825,9.0997,80.4412,128.706,19437429.4,2332491528.0,SMA
Bukit Raya,14,1,2027-07-01,1197,852862.5,262.4192,40.9374,44.0187,69.9068,170.5725,9.6478,85.2862,136.458,20608150.5,2472978060.0,SMA
Bukit Raya,15,2,2027-01-01,1169,832912.5,256.2808,39.9798,42.989,68.2715,166.5825,9.4221,83.2912,133.266,20126087.3,2415130476.0,SMA
Bukit Raya,16,3,2028-07-01,1151,820087.5,252.3346,39.3642,42.3271,67.2203,164.0175,9.277,82.0088,131.214,19816194.3,2377943316.0,SMA
Bukit Raya,17,4,2028-01-01,1143,814387.5,250.5808,39.0906,42.0329,66.7531,162.8775,9.2125,81.4388,130.302,19678462.7,2361415524.0,SMA
Bukit Raya,18,5,2029-07-01,1139,811537.5,249.7038,38.9538,41.8858,66.5195,162.3075,9.1803,81.1538,129.846,19609596.3,2353151556.0,SMA
Bukit Raya,19,6,2029-01-01,1137,810112.5,249.2654,38.8854,41.8123,66.4027,162.0225,9.1642,81.0112,129.618,19575162.5,2349019500.0,SMA
Lima Puluh,14,1,2027-07-01,663,472387.5,145.35,22.6746,24.3813,38.7203,94.4775,5.3438,47.2388,75.582,11414543.3,1369745196.0,SMA
Lima Puluh,15,2,2027-01-01,709,505162.5,155.4346,24.2478,26.0729,41.4068,101.0325,5.7145,50.5162,80.826,12206497.7,1464779724.0,SMA
Lima Puluh,16,3,2028-07-01,755,537937.5,165.5192,25.821,27.7645,44.0932,107.5875,6.0853,53.7938,86.07,12998458.9,1559815068.0,SMA
Lima Puluh,17,4,2028-01-01,781,556462.5,171.2192,26.7102,28.7206,45.6117,111.2925,6.2948,55.6462,89.034,13446083.700000001,1613530044.0000002,SMA
Lima Puluh,18,5,2029-07-01,798,568575.0,174.9462,27.2916,29.3458,46.6045,113.715,6.4318,56.8575,90.972,13738767.3,1648652076.0,SMA
Lima Puluh,19,6,2029-01-01,808,575700.0,177.1385,27.6336,29.7135,47.1885,115.14,6.5124,57.57,92.112,13910930.7,1669311684.0,SMA
Marpoyan Damai,14,1,2027-07-01,561,399712.5,122.9885,19.1862,20.6303,32.7633,79.9425,4.5216,39.9712,63.954,9658454.2,1159014504.0,SMA
Marpoyan Damai,15,2,2027-01-01,572,407550.0,125.4,19.5624,21.0348,33.4057,81.51,4.6103,40.755,65.208,9847836.8,1181740416.0,SMA
Marpoyan Damai,16,3,2028-07-01,579,412537.5,126.9346,19.8018,21.2923,33.8145,82.5075,4.6667,41.2537,66.006,9968352.0,1196202240.0,SMA
Marpoyan Damai,17,4,2028-01-01,586,417525.0,128.4692,20.0412,21.5497,34.2234,83.505,4.7231,41.7525,66.804,10088869.899999999,1210664387.9999998,SMA
Marpoyan Damai,18,5,2029-07-01,592,421800.0,129.7846,20.2464,21.7703,34.5738,84.36,4.7715,42.18,67.488,10192168.4,1223060208.0,SMA
Marpoyan Damai,19,6,2029-01-01,598,426075.0,131.1,20.4516,21.991,34.9242,85.215,4.8199,42.6075,68.172,10295469.7,1235456364.0,SMA
Payung Sekaki,14,1,2027-07-01,2014,1434975.0,441.5308,68.8788,74.0632,117.6209,286.995,16.2327,143.4975,229.596,34674031.7,4160883804.0000005,SMA
Payung Sekaki,15,2,2027-01-01,1902,1355175.0,416.9769,65.0484,69.9445,111.0799,271.035,15.33,135.5175,216.828,32745783.0,3929493960.0,SMA
Payung Sekaki,16,3,2028-07-01,1794,1278225.0,393.3,61.3548,65.9729,104.7725,255.645,14.4596,127.8225,204.516,30886402.5,3706368300.0,SMA
Payung Sekaki,17,4,2028-01-01,1741,1240462.5,381.6808,59.5422,64.0239,101.6773,248.0925,14.0324,124.0462,198.474,29973928.9,3596871468.0,SMA
Payung Sekaki,18,5,2029-07-01,1705,1214812.5,373.7885,58.311,62.7,99.5748,242.9625,13.7422,121.4812,194.37,29354132.6,3522495912.0,SMA
Payung Sekaki,19,6,2029-01-01,1682,1198425.0,368.7462,57.5244,61.8542,98.2316,239.685,13.5568,119.8425,191.748,28958155.5,3474978660.0,SMA
Pekanbaru Kota,14,1,2027-07-01,300,213750.0,65.7692,10.26,11.0323,17.5205,42.75,2.418,21.375,34.2,5164951.4,619794168.0,SMA
Pekanbaru Kota,15,2,2027-01-01,429,305662.5,94.05,14.6718,15.7761,25.0543,61.1325,3.4577,30.5662,48.906,7385875.899999999,886305107.9999999,SMA
Pekanbaru Kota,16,3,2028-07-01,612,436050.0,134.1692,20.9304,22.5058,35.7418,87.21,4.9327,43.605,69.768,10536498.0,1264379760.0,SMA
Pekanbaru Kota,17,4,2028-01-01,742,528675.0,162.6692,25.3764,27.2865,43.334,105.735,5.9805,52.8675,84.588,12774644.5,1532957340.0,SMA
Pekanbaru Kota,18,5,2029-07-01,863,614887.5,189.1962,29.5146,31.7361,50.4006,122.9775,6.9557,61.4888,98.382,14857840.9,1782940908.0,SMA
Pekanbaru Kota,19,6,2029-01-01,946,674025.0,207.3923,32.3532,34.7884,55.248,134.805,7.6247,67.4025,107.844,16286810.799999999,1954417295.9999998,SMA
Rumbai,14,1,2027-07-01,1623,1156387.5,355.8115,55.5066,59.6845,94.7859,231.2775,13.0813,115.6388,185.022,27942382.4,3353085888.0,SMA
Rumbai,15,2,2027-01-01,1590,1132875.0,348.5769,54.378,58.471,92.8586,226.575,12.8153,113.2875,181.26,27374236.4,3284908368.0,SMA
Rumbai,16,3,2028-07-01,1560,1111500.0,342.0,53.352,57.3677,91.1066,222.3,12.5735,111.15,177.84,26857740.6,3222928872.0,SMA
Rumbai,17,4,2028-01-01,1540,1097250.0,337.6154,52.668,56.6323,89.9385,219.45,12.4123,109.725,175.56,26513411.799999997,3181609415.9999995,SMA
Rumbai,18,5,2029-07-01,1525,1086562.5,334.3269,52.155,56.0806,89.0625,217.3125,12.2914,108.6562,173.85,26255160.0,3150619200.0,SMA
Rumbai,19,6,2029-01-01,1514,1078725.0,331.9154,51.7788,55.6761,88.4201,215.745,12.2028,107.8725,172.596,26065782.7,3127893924.0,SMA
Rumbai Timur,14,1,2027-07-01,591,421087.5,129.5654,20.2122,21.7335,34.5154,84.2175,4.7634,42.1088,67.374,10174952.7,1220994324.0,SMA
Rumbai Timur,15,2,2027-01-01,581,413962.5,127.3731,19.8702,21.3658,33.9314,82.7925,4.6828,41.3962,66.234,10002785.8,1200334296.0,SMA
Rumbai Timur,16,3,2028-07-01,569,405412.5,124.7423,19.4598,20.9245,33.2305,81.0825,4.5861,40.5412,64.866,9796185.8,1175542296.0,SMA
Rumbai Timur,17,4,2028-01-01,559,398287.5,122.55,19.1178,20.5568,32.6465,79.6575,4.5055,39.8288,63.726,9624025.9,1154883108.0,SMA
Rumbai Timur,18,5,2029-07-01,550,391875.0,120.5769,18.81,20.2258,32.1209,78.375,4.433,39.1875,62.7,9469075.4,1136289048.0,SMA
Rumbai Timur,19,6,2029-01-01,542,386175.0,118.8231,18.5364,19.9316,31.6537,77.235,4.3685,38.6175,61.788,9331343.8,1119761256.0,SMA
Sail,14,1,2027-07-01,1193,850012.5,261.5423,40.8006,43.8716,69.6732,170.0025,9.6155,85.0012,136.002,20539283.8,2464714056.0,SMA
Sail,15,2,2027-01-01,1168,832200.0,256.0615,39.9456,42.9523,68.2131,166.44,9.414,83.22,133.152,20108872.9,2413064748.0,SMA
Sail,16,3,2028-07-01,1147,817237.5,251.4577,39.2274,42.18,66.9867,163.4475,9.2448,81.7238,130.758,19747329.400000002,2369679528.0000005,SMA
Sail,17,4,2028-01-01,1132,806550.0,248.1692,38.7144,41.6284,66.1107,161.31,9.1239,80.655,129.048,19489080.4,2338689648.0,SMA
Sail,18,5,2029-07-01,1120,798000.0,245.5385,38.304,41.1871,65.4098,159.6,9.0271,79.8,127.68,19282480.1,2313897612.0,SMA
Sail,19,6,2029-01-01,1111,791587.5,243.5654,37.9962,40.8561,64.8842,158.3175,8.9546,79.1588,126.654,19127533.1,2295303972.0,SMA
Senapelan,14,1,2027-07-01,1036,738150.0,227.1231,35.4312,38.0981,60.5041,147.63,8.3501,73.815,118.104,17836296.1,2140355532.0000002,SMA
Senapelan,15,2,2027-01-01,1022,728175.0,224.0538,34.9524,37.5832,59.6865,145.635,8.2373,72.8175,116.508,17595263.5,2111431620.0,SMA
Senapelan,16,3,2028-07-01,1004,715350.0,220.1077,34.3368,36.9213,58.6352,143.07,8.0922,71.535,114.456,17285366.5,2074243980.0,SMA
Senapelan,17,4,2028-01-01,996,709650.0,218.3538,34.0632,36.6271,58.168,141.93,8.0277,70.965,113.544,17147633.4,2057716007.9999998,SMA
Senapelan,18,5,2029-07-01,989,704662.5,216.8192,33.8238,36.3697,57.7592,140.9325,7.9713,70.4662,112.746,17027117.5,2043254100.0,SMA
Senapelan,19,6,2029-01-01,985,701812.5,215.9423,33.687,36.2226,57.5256,140.3625,7.9391,70.1812,112.29,16958252.6,2034990312.0000002,SMA
Sukajadi,14,1,2027-07-01,1376,980400.0,301.6615,47.0592,50.6013,80.3607,196.08,11.0905,98.04,156.864,23689905.9,2842788708.0,SMA
Sukajadi,15,2,2027-01-01,1343,956887.5,294.4269,45.9306,49.3877,78.4334,191.3775,10.8245,95.6888,153.102,23121760.6,2774611272.0,SMA
Sukajadi,16,3,2028-07-01,1315,936937.5,288.2885,44.973,48.3581,76.7982,187.3875,10.5988,93.6938,149.91,22639702.200000003,2716764264.0000005,SMA
Sukajadi,17,4,2028-01-01,1297,924112.5,284.3423,44.3574,47.6961,75.7469,184.8225,10.4538,92.4112,147.858,22329799.200000003,2679575904.0000005,SMA
Sukajadi,18,5,2029-07-01,1283,914137.5,281.2731,43.8786,47.1813,74.9293,182.8275,10.3409,91.4137,146.262,22088769.1,2650652292.0,SMA
Sukajadi,19,6,2029-01-01,1273,907012.5,279.0808,43.5366,46.8135,74.3453,181.4025,10.2603,90.7012,145.122,21916602.9,2629992348.0,SMA
Tenayan Raya,14,1,2027-07-01,752,535800.0,164.8615,25.7184,27.6542,43.918,107.16,6.0611,53.58,85.728,12946807.9,1553616948.0,SMA
Tenayan Raya,15,2,2027-01-01,989,704662.5,216.8192,33.8238,36.3697,57.7592,140.9325,7.9713,70.4662,112.746,17027117.5,2043254100.0,SMA
Tenayan Raya,16,3,2028-07-01,913,650512.5,200.1577,31.2246,33.5748,53.3207,130.1025,7.3587,65.0512,104.082,15718662.0,1886239440.0,SMA
Tenayan Raya,17,4,2028-01-01,985,701812.5,215.9423,33.687,36.2226,57.5256,140.3625,7.9391,70.1812,112.29,16958252.6,2034990312.0000002,SMA
Tenayan Raya,18,5,2029-07-01,980,698250.0,214.8462,33.516,36.0387,57.2336,139.65,7.8988,69.825,111.72,16872172.0,2024660640.0,SMA
Tenayan Raya,19,6,2029-01-01,1010,719625.0,221.4231,34.542,37.1419,58.9857,143.925,8.1406,71.9625,115.14,17388667.0,2086640040.0,SMA
Tuahmadani,14,1,2027-07-01,1998,1423575.0,438.0231,68.3316,73.4748,116.6865,284.715,16.1038,142.3575,227.772,34398568.8,4127828255.9999995,SMA
Tuahmadani,15,2,2027-01-01,1962,1397925.0,430.1308,67.1004,72.151,114.584,279.585,15.8136,139.7925,223.668,33778775.3,4053453035.9999995,SMA
Tuahmadani,16,3,2028-07-01,1903,1355887.5,417.1962,65.0826,69.9813,111.1383,271.1775,15.3381,135.5888,216.942,32763003.7,3931560444.0,SMA
Tuahmadani,17,4,2028-01-01,1882,1340925.0,412.5923,64.3644,69.209,109.9119,268.185,15.1688,134.0925,214.548,32401453.4,3888174408.0,SMA
Tuahmadani,18,5,2029-07-01,1865,1328812.5,408.8654,63.783,68.5839,108.9191,265.7625,15.0318,132.8812,212.61,32108774.099999998,3853052891.9999995,SMA
Tuahmadani,19,6,2029-01-01,1857,1323112.5,407.1115,63.5094,68.2897,108.4518,264.6225,14.9673,132.3112,211.698,31971039.0,3836524680.0,SMA
Binawidya,14,1,2027-07-01,4446,3167775.0,974.7,152.0532,163.4981,259.6537,633.555,35.8346,316.7775,506.844,76544565.1,9185347812.0,SMK
Binawidya,15,2,2027-01-01,4375,3117187.5,959.1346,149.625,160.8871,255.5072,623.4375,35.2623,311.7188,498.75,75322193.69999999,9038663243.999998,SMK
Binawidya,16,3,2028-07-01,4319,3077287.5,946.8577,147.7098,158.8277,252.2367,615.4575,34.8109,307.7288,492.366,74358067.80000001,8922968136.000002,SMK
Binawidya,17,4,2028-01-01,4264,3038100.0,934.8,145.8288,156.8052,249.0246,607.62,34.3676,303.81,486.096,73411160.4,8809339248.0,SMK
Binawidya,18,5,2029-07-01,4215,3003187.5,924.0577,144.153,155.0032,246.1629,600.6375,33.9727,300.3188,480.51,72567552.2,8708106264.0,SMK
Binawidya,19,6,2029-01-01,4171,2971837.5,914.4115,142.6482,153.3852,243.5932,594.3675,33.6181,297.1837,475.494,71810023.9,8617202868.0,SMK
Bukit Raya,14,1,2027-07-01,1405,1001062.5,308.0192,48.051,51.6677,82.0543,200.2125,11.3242,100.1062,160.17,24189179.7,2902701564.0,SMK
Bukit Raya,15,2,2027-01-01,1380,983250.0,302.5385,47.196,50.7484,80.5943,196.65,11.1227,98.325,157.32,23758772.299999997,2851052675.9999995,SMK
Bukit Raya,16,3,2028-07-01,1360,969000.0,298.1538,46.512,50.0129,79.4262,193.8,10.9615,96.9,155.04,23414439.2,2809732704.0,SMK
Bukit Raya,17,4,2028-01-01,1339,954037.5,293.55,45.7938,49.2406,78.1998,190.8075,10.7923,95.4038,152.646,23052895.700000003,2766347484.0000005,SMK
Bukit Raya,18,5,2029-07-01,1320,940500.0,289.3846,45.144,48.5419,77.0902,188.1,10.6391,94.05,150.48,22725780.0,2727093600.0,SMK
Bukit Raya,19,6,2029-01-01,1304,929100.0,285.8769,44.5968,47.9535,76.1557,185.82,10.5102,92.91,148.656,22450315.1,2694037812.0,SMK
Lima Puluh,14,1,2027-07-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SMK
Lima Puluh,15,2,2027-01-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SMK
Lima Puluh,16,3,2028-07-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SMK
Lima Puluh,17,4,2028-01-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SMK
Lima Puluh,18,5,2029-07-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SMK
Lima Puluh,19,6,2029-01-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SMK
Marpoyan Damai,14,1,2027-07-01,3136,2234400.0,687.5077,107.2512,115.3239,183.1475,446.88,25.276,223.44,357.504,53990946.7,6478913604.0,SMK
Marpoyan Damai,15,2,2027-01-01,3244,2311350.0,711.1846,110.9448,119.2955,189.4549,462.27,26.1465,231.135,369.816,55850329.0,6702039480.0,SMK
Marpoyan Damai,16,3,2028-07-01,3364,2396850.0,737.4923,115.0488,123.7084,196.4631,479.37,27.1137,239.685,383.496,57916309.300000004,6949957116.000001,SMK
Marpoyan Damai,17,4,2028-01-01,3468,2470950.0,760.2923,118.6056,127.5329,202.5369,494.19,27.9519,247.095,395.352,59706824.900000006,7164818988.000001,SMK
Marpoyan Damai,18,5,2029-07-01,3568,2542200.0,782.2154,122.0256,131.2103,208.377,508.44,28.7579,254.22,406.752,61428473.6,7371416832.0,SMK
Marpoyan Damai,19,6,2029-01-01,3661,2608462.5,802.6038,125.2062,134.6303,213.8084,521.6925,29.5075,260.8462,417.354,63029606.9,7563552828.0,SMK
Payung Sekaki,14,1,2027-07-01,340,242250.0,74.5385,11.628,12.5032,19.8566,48.45,2.7404,24.225,38.76,5853611.300000001,702433356.0000001,SMK
Payung Sekaki,15,2,2027-01-01,332,236550.0,72.7846,11.3544,12.209,19.3893,47.31,2.6759,23.655,37.848,5715876.2,685905144.0,SMK
Payung Sekaki,16,3,2028-07-01,316,225150.0,69.2769,10.8072,11.6206,18.4549,45.03,2.5469,22.515,36.024,5440411.5,652849380.0,SMK
Payung Sekaki,17,4,2028-01-01,309,220162.5,67.7423,10.5678,11.3632,18.0461,44.0325,2.4905,22.0162,35.226,5319895.6,638387472.0,SMK
Payung Sekaki,18,5,2029-07-01,301,214462.5,65.9885,10.2942,11.069,17.5789,42.8925,2.426,21.4462,34.314,5182164.0,621859680.0,SMK
Payung Sekaki,19,6,2029-01-01,297,211612.5,65.1115,10.1574,10.9219,17.3453,42.3225,2.3938,21.1612,33.858,5113297.6,613595712.0,SMK
Rumbai,14,1,2027-07-01,545,388312.5,119.4808,18.639,20.0419,31.8289,77.6625,4.3927,38.8312,62.13,9382991.3,1125958956.0,SMK
Rumbai,15,2,2027-01-01,531,378337.5,116.4115,18.1602,19.5271,31.0113,75.6675,4.2798,37.8338,60.534,9141963.2,1097035584.0,SMK
Rumbai,16,3,2028-07-01,518,369075.0,113.5615,17.7156,19.049,30.252,73.815,4.1751,36.9075,59.052,8918145.8,1070177496.0000001,SMK
Rumbai,17,4,2028-01-01,511,364087.5,112.0269,17.4762,18.7916,29.8432,72.8175,4.1186,36.4088,58.254,8797631.6,1055715792.0,SMK
Rumbai,18,5,2029-07-01,506,360525.0,110.9308,17.3052,18.6077,29.5512,72.105,4.0783,36.0525,57.684,8711547.5,1045385700.0,SMK
Rumbai,19,6,2029-01-01,503,358387.5,110.2731,17.2026,18.4974,29.376,71.6775,4.0542,35.8388,57.342,8659901.8,1039188216.0000001,SMK
Rumbai Timur,14,1,2027-07-01,65,46312.5,14.25,2.223,2.3903,3.7961,9.2625,0.5239,4.6312,7.41,1119070.1,134288412.0,SMK
Rumbai Timur,15,2,2027-01-01,83,59137.5,18.1962,2.8386,3.0523,4.8473,11.8275,0.669,5.9138,9.462,1428972.9,171476748.0,SMK
Rumbai Timur,16,3,2028-07-01,107,76237.5,23.4577,3.6594,3.9348,6.249,15.2475,0.8624,7.6238,12.198,1842166.5999999999,221059991.99999997,SMK
Rumbai Timur,17,4,2028-01-01,120,85500.0,26.3077,4.104,4.4129,7.0082,17.1,0.9672,8.55,13.68,2065980.3,247917636.0,SMK
Rumbai Timur,18,5,2029-07-01,132,94050.0,28.9385,4.5144,4.8542,7.709,18.81,1.0639,9.405,15.048,2272578.3,272709396.0,SMK
Rumbai Timur,19,6,2029-01-01,139,99037.5,30.4731,4.7538,5.1116,8.1178,19.8075,1.1203,9.9038,15.846,2393094.2,287171304.0,SMK
Sail,14,1,2027-07-01,462,329175.0,101.2846,15.8004,16.9897,26.9816,65.835,3.7237,32.9175,52.668,7954024.699999999,954482963.9999999,SMK
Sail,15,2,2027-01-01,472,336300.0,103.4769,16.1424,17.3574,27.5656,67.26,3.8043,33.63,53.808,8126188.100000001,975142572.0000001,SMK
Sail,16,3,2028-07-01,490,349125.0,107.4231,16.758,18.0194,28.6168,69.825,3.9494,34.9125,55.86,8436087.4,1012330488.0,SMK
Sail,17,4,2028-01-01,498,354825.0,109.1769,17.0316,18.3135,29.084,70.965,4.0139,35.4825,56.772,8573816.2,1028857943.9999999,SMK
Sail,18,5,2029-07-01,506,360525.0,110.9308,17.3052,18.6077,29.5512,72.105,4.0783,36.0525,57.684,8711547.5,1045385700.0,SMK
Sail,19,6,2029-01-01,511,364087.5,112.0269,17.4762,18.7916,29.8432,72.8175,4.1186,36.4088,58.254,8797631.6,1055715792.0,SMK
Senapelan,14,1,2027-07-01,956,681150.0,209.5846,32.6952,35.1561,55.832,136.23,7.7053,68.115,108.984,16458974.200000001,1975076904.0000002,SMK
Senapelan,15,2,2027-01-01,968,689700.0,212.2154,33.1056,35.5974,56.5328,137.94,7.802,68.97,110.352,16665572.2,1999868664.0,SMK
Senapelan,16,3,2028-07-01,985,701812.5,215.9423,33.687,36.2226,57.5256,140.3625,7.9391,70.1812,112.29,16958252.6,2034990312.0000002,SMK
Senapelan,17,4,2028-01-01,1001,713212.5,219.45,34.2342,36.811,58.46,142.6425,8.068,71.3213,114.114,17233719.0,2068046280.0,SMK
Senapelan,18,5,2029-07-01,1018,725325.0,223.1769,34.8156,37.4361,59.4529,145.065,8.205,72.5325,116.052,17526396.8,2103167616.0,SMK
Senapelan,19,6,2029-01-01,1036,738150.0,227.1231,35.4312,38.0981,60.5041,147.63,8.3501,73.815,118.104,17836296.1,2140355532.0000002,SMK
Sukajadi,14,1,2027-07-01,1045,744562.5,229.0962,35.739,38.429,61.0297,148.9125,8.4227,74.4562,119.13,17991242.1,2158949052.0,SMK
Sukajadi,15,2,2027-01-01,1054,750975.0,231.0692,36.0468,38.76,61.5553,150.195,8.4952,75.0975,120.156,18146191.1,2177542932.0,SMK
Sukajadi,16,3,2028-07-01,1092,778050.0,239.4,37.3464,40.1574,63.7746,155.61,8.8015,77.805,124.488,18800419.2,2256050304.0,SMK
Sukajadi,17,4,2028-01-01,1096,780900.0,240.2769,37.4832,40.3045,64.0082,156.18,8.8337,78.09,124.944,18869284.1,2264314092.0,SMK
Sukajadi,18,5,2029-07-01,1102,785175.0,241.5923,37.6884,40.5252,64.3586,157.035,8.8821,78.5175,125.628,18972585.4,2276710248.0,SMK
Sukajadi,19,6,2029-01-01,1103,785887.5,241.8115,37.7226,40.5619,64.417,157.1775,8.8901,78.5888,125.742,18989800.0,2278776000.0,SMK
Tenayan Raya,14,1,2027-07-01,1371,976837.5,300.5654,46.8882,50.4174,80.0686,195.3675,11.0502,97.6838,156.294,23603823.299999997,2832458795.9999995,SMK
Tenayan Raya,15,2,2027-01-01,1460,1040250.0,320.0769,49.932,53.6903,85.2664,208.05,11.7675,104.025,166.44,25136089.9,3016330788.0,SMK
Tenayan Raya,16,3,2028-07-01,1563,1113637.5,342.6577,53.4546,57.4781,91.2818,222.7275,12.5977,111.3638,178.182,26909394.400000002,3229127328.0000005,SMK
Tenayan Raya,17,4,2028-01-01,1657,1180612.5,363.2654,56.6694,60.9348,96.7715,236.1225,13.3553,118.0612,188.898,28527738.299999997,3423328595.9999995,SMK
Tenayan Raya,18,5,2029-07-01,1747,1244737.5,382.9962,59.7474,64.2445,102.0277,248.9475,14.0807,124.4738,199.158,30077229.1,3609267492.0,SMK
Tenayan Raya,19,6,2029-01-01,1842,1312425.0,403.8231,62.9964,67.7381,107.5758,262.485,14.8464,131.2425,209.988,31712795.0,3805535400.0,SMK
Tuahmadani,14,1,2027-07-01,2767,1971487.5,606.6115,94.6314,101.7542,161.5973,394.2975,22.3019,197.1488,315.438,47638058.8,5716567056.0,SMK
Tuahmadani,15,2,2027-01-01,3015,2148187.5,660.9808,103.113,110.8742,176.0809,429.6375,24.3008,214.8188,343.71,51907752.5,6228930300.0,SMK
Tuahmadani,16,3,2028-07-01,3315,2361937.5,726.75,113.373,121.9065,193.6014,472.3875,26.7188,236.1938,377.91,57072703.9,6848724468.0,SMK
Tuahmadani,17,4,2028-01-01,3600,2565000.0,789.2308,123.12,132.3871,210.2459,513.0,29.0158,256.5,410.4,61979403.199999996,7437528383.999999,SMK
Tuahmadani,18,5,2029-07-01,3872,2758800.0,848.8615,132.4224,142.3897,226.1311,551.76,31.2081,275.88,441.408,66662289.9,7999474788.0,SMK
